rating_id,user_id,movie_id,rating,rated_at
1,13,11,3,2025-03-17 02:43:02
2,44,20,5,2024-09-26 15:57:16
3,47,6,5,2025-04-29 08:08:54
4,5,38,5,2023-10-18 05:01:15
5,29,23,3,2024-08-09 10:30:36
6,22,7,5,2025-06-28 00:03:46
7,22,48,5,2024-03-19 22:41:36
8,11,22,4,2025-02-16 17:45:07
9,15,20,1,2024-12-29 07:55:56
10,49,2,2,2024-01-28 07:48:19
11,9,41,4,2024-02-11 11:38:30
12,27,13,3,2024-07-22 12:37:37
13,26,5,2,2023-10-09 04:34:42
14,8,32,3,2023-09-22 07:57:34
15,23,10,3,2024-12-05 22:48:21
16,11,29,5,2024-10-20 04:03:01
17,29,43,3,2024-08-06 03:30:26
18,8,25,3,2024-07-12 06:15:45
19,38,17,1,2024-07-23 17:16:50
20,44,10,1,2024-11-27 06:46:09
21,35,14,5,2023-12-04 17:01:12
22,6,5,4,2023-09-29 05:20:41
23,43,26,5,2024-06-18 03:11:03
24,49,33,5,2024-06-14 04:18:18
25,16,15,1,2024-02-22 05:21:48
26,20,33,1,2024-09-18 18:29:52
27,6,16,3,2024-08-04 10:04:19
28,14,7,1,2023-12-28 14:13:06
29,46,48,2,2023-12-17 17:01:36
30,13,6,1,2024-07-10 03:13:19
31,3,28,4,2024-06-27 07:21:48
32,12,39,1,2025-03-28 20:34:23
33,39,28,2,2024-11-18 09:27:39
34,38,20,1,2025-06-09 18:57:54
35,33,41,3,2023-12-02 06:33:40
36,35,24,1,2024-01-26 06:01:16
37,24,15,1,2025-07-19 12:17:06
38,21,47,5,2024-01-02 05:33:26
39,47,4,3,2025-04-08 13:59:41
40,11,34,1,2024-11-02 14:18:59
41,40,17,3,2024-09-23 17:34:40
42,7,19,4,2024-04-19 07:46:17
43,31,14,3,2023-10-25 21:46:22
44,5,24,1,2025-02-06 12:39:49
45,37,23,3,2024-04-01 21:08:20
46,2,36,1,2024-06-07 17:37:03
47,40,6,1,2023-08-10 17:46:49
48,13,31,2,2023-11-15 12:27:12
49,36,6,1,2023-11-27 12:31:40
50,18,2,2,2025-04-06 17:24:36
