history_id,user_id,movie_id,watched_at
1,23,21,2025-04-05 06:20:02
2,34,18,2024-03-01 14:16:32
3,39,29,2024-12-19 09:14:42
4,8,47,2024-03-26 05:58:02
5,15,1,2023-12-22 00:20:47
6,48,50,2024-04-03 02:22:37
7,39,49,2025-04-12 17:52:48
8,2,41,2024-11-19 08:47:56
9,3,12,2024-08-28 03:11:42
10,12,39,2023-12-03 09:25:47
11,7,30,2025-03-19 13:44:36
12,3,41,2025-04-29 02:07:18
13,49,1,2024-12-14 06:39:27
14,50,10,2025-02-12 07:02:27
15,20,7,2023-11-08 12:37:29
16,8,28,2025-04-04 09:07:34
17,11,24,2024-07-05 15:39:02
18,21,39,2024-04-13 07:06:59
19,24,12,2024-05-30 11:54:29
20,7,25,2025-04-18 11:47:30
21,26,14,2025-04-01 00:47:03
22,26,29,2023-12-25 09:26:10
23,43,2,2024-08-31 12:46:02
24,1,26,2024-12-28 15:16:28
25,50,20,2023-12-07 23:54:00
26,29,7,2024-06-28 20:38:10
27,3,40,2024-05-03 19:36:15
28,36,23,2024-12-21 18:59:56
29,5,14,2024-09-09 13:49:52
30,20,2,2024-12-22 07:35:33
31,1,13,2024-02-03 08:41:49
32,15,1,2025-02-05 01:18:15
33,33,12,2025-01-10 20:01:41
34,10,45,2024-07-13 05:38:34
35,42,20,2024-04-18 00:15:46
36,1,43,2024-07-29 05:47:14
37,12,42,2023-08-01 15:28:53
38,20,13,2024-07-18 05:47:39
39,6,42,2025-01-02 05:24:55
40,47,32,2025-04-07 22:08:45
41,4,13,2024-08-16 02:10:46
42,35,41,2023-10-01 11:11:13
43,39,16,2025-03-15 17:25:39
44,38,24,2025-03-31 01:23:12
45,2,41,2024-09-24 17:22:25
46,37,31,2023-09-27 12:29:11
47,47,49,2025-02-28 07:55:25
48,3,39,2024-08-22 14:34:44
49,30,26,2025-05-18 10:59:28
50,40,28,2024-04-17 21:16:06
